Date,Community,Dead,Injured,Total,Description
"August 5, 2018","Chicago, Illinois (19)",0,4,4,Four people were wounded at Humboldt Park when they were shot at by two people in a car.[140]
"August 5, 2018","Chicago, Illinois (18)",0,4,4,Four people were wounded by gunfire at a house party.[141]
"August 5, 2018","Chicago, Illinois (17)",0,8,8,Eight people were wounded when a group of men approached them in a courtyard and began shooting.[142]
"August 5, 2018","Chicago, Illinois (16)",1,5,6,Two shooters killed one person and wounded five others when they began shooting at a group standing on a sidewalk.[143]
"August 4, 2018","Kansas City, Missouri",0,6,6,Six people were shot when a man pulled a handgun from his waistband during a fight. The suspect was taken into custody.[144]
"August 4, 2018","North Las Vegas, Nevada (1)",0,6,6,Six people were injured during a shooting at a house party.[145]
"August 4, 2018","Chicago, Illinois (15)",1,3,4,One person was killed and three were injured in the Austin neighborhood of Chicago.[146]
"August 4, 2018","Milwaukee, Wisconsin",0,4,4,Four people were injured when a gunman began shooting from a car at a group of people who were grilling and playing basketball in a park.[147]
"July 31, 2018","Gardena, California",2,3,5,"After becoming upset at a party, a man killed one person and wounded three others, including his girlfriend. He was driven from the scene by his friend and his friend's wife. He later shot and killed his friend, but his attempt to kill his friend's wife failed when his gun malfunctioned.[148]"
"July 30, 2018","Savannah, Georgia",0,4,4,Four people were injured when shots were fired during a dispute in a parking lot.[149]
"July 30, 2018","Chicago, Illinois (14)",0,4,4,Four people were injured in a drive-by shooting.[150]
"July 29, 2018","York, Pennsylvania",0,4,4,Four people were injured in a shooting.[151]
"July 29, 2018","Phoenix, Arizona",1,4,5,One person was killed and four were injured in a shooting following a verbal altercation at an inn.[152]
"July 29, 2018","Lansing, Michigan",0,4,4,Four people were injured when they were shot after a fight broke out.[153]
"July 28, 2018","New Orleans, Louisiana (6)",3,7,10,Two gunmen killed three people and injured seven others in a shooting at a daiquiri shop.[154]
"July 28, 2018","Los Angeles, California (4)",2,4,6,Two people were killed and six were injured in a drive-by shooting by a liquor store.[155]
"July 27, 2018","Chicago, Illinois (13)",0,4,4,Three children and an adult were injured in a shooting.[156]
"July 27, 2018","Robstown, Texas",5[n 1],0,5,"A man killed his father and stepmother, as well as their adopted son and his stepmother's son, before killing himself in a murder–suicide at a nursing home.[157]"
"July 26, 2018","Cleveland, Ohio (2)",1,6,7,One person was killed and six were injured in a shootout involving multiple gunmen at a bar after the filming of a rap music video.[158]
"July 26, 2018","Oakland, California (2)",2,2,4,"A gunman shot at a moving car, killing two occupants and injuring the other two.[159]"
"July 26, 2018","Dallas, Texas (2)",0,6,6,Six people were injured in a drive-by shooting.[160]
"July 25, 2018","New Orleans, Louisiana (5)",0,4,4,Four people were injured when a truck pulled up beside a car and one or more of its occupants began shooting. A suspect was arrested.[161]
"July 23, 2018","Chicago, Illinois (12)",0,5,5,Five people were wounded when someone began firing at them while they stood on a sidewalk.[162]
"July 21, 2018","Baltimore, Maryland (3)",0,4,4,Four people were wounded in a shooting.[163]
"July 21, 2018","Chicago, Illinois (11)",2,5,7,Two people were killed and five injured when they were shot by four gunmen in a park.[164]
"July 20, 2018","Sunnyside, Washington",1,4,5,One person was killed and four were injured after a shooter opened fire into a backyard party.[165]
"July 20, 2018","Elizabeth, New Jersey",0,4,4,Four people were wounded when three gunmen began shooting at them at a restaurant.[166]
"July 18, 2018","Oklahoma City, Oklahoma (2)",0,4,4,"Four people were wounded when shots were fired during a large fight in an apartment complex. Four people were arrested on other charges, but the shooter or shooters were not identified.[167]"
"July 16, 2018","Palm Beach Gardens, Florida (3)",2,4,6,Two people were killed and four others were injured when a gunman began shooting at them while they were standing in a yard.[168]
"July 16, 2018","Philadelphia, Pennsylvania (5)",1,4,5,Two gunmen killed one person and injured four others.[169]
